year,month,loan_count,total_loan_amnt,default_rate,date
2007,6,24,91850.0,0.125,2007-06-01
2007,7,63,348325.0,0.1111111111111111,2007-07-01
2007,8,74,515300.0,0.2702702702702703,2007-08-01
2007,9,53,372950.0,0.24528301886792453,2007-09-01
2007,10,105,753225.0,0.3238095238095238,2007-10-01
2007,11,112,1008650.0,0.30357142857142855,2007-11-01
2007,12,172,1887175.0,0.27325581395348836,2007-12-01
2008,1,305,2926000.0,0.2754098360655738,2008-01-01
2008,2,306,2959225.0,0.19934640522875818,2008-02-01
2008,3,402,4150050.0,0.22139303482587064,2008-03-01
2008,4,259,2433875.0,0.24324324324324326,2008-04-01
2008,5,115,628900.0,0.21739130434782608,2008-05-01
2008,6,124,660175.0,0.1774193548387097,2008-06-01
2008,7,141,856475.0,0.2127659574468085,2008-07-01
2008,8,100,592450.0,0.12,2008-08-01
2008,9,57,317675.0,0.17543859649122806,2008-09-01
2008,10,122,962550.0,0.1721311475409836,2008-10-01
2008,11,209,2064900.0,0.18660287081339713,2008-11-01
2008,12,253,2566975.0,0.15810276679841898,2008-12-01
2009,1,269,2470125.0,0.1524163568773234,2009-01-01
2009,2,302,2714925.0,0.1357615894039735,2009-02-01
2009,3,324,3061300.0,0.12654320987654322,2009-03-01
2009,4,333,3079475.0,0.14714714714714713,2009-04-01
2009,5,359,3443300.0,0.14206128133704735,2009-05-01
2009,6,406,3592300.0,0.14285714285714285,2009-06-01
2009,7,411,3876150.0,0.1411192214111922,2009-07-01
2009,8,446,4318650.0,0.11210762331838565,2009-08-01
2009,9,507,5107225.0,0.1301775147928994,2009-09-01
2009,10,604,6289450.0,0.16556291390728478,2009-10-01
2009,11,662,6848875.0,0.14652567975830816,2009-11-01
2009,12,658,7126475.0,0.10790273556231003,2009-12-01
2010,1,662,7385950.0,0.13897280966767372,2010-01-01
2010,2,682,7460000.0,0.10997067448680352,2010-02-01
2010,3,828,8664750.0,0.10507246376811594,2010-03-01
2010,4,912,9510575.0,0.11074561403508772,2010-04-01
2010,5,989,10608150.0,0.14560161779575329,2010-05-01
2010,6,1105,11169550.0,0.17737556561085974,2010-06-01
2010,7,1204,11936500.0,0.13205980066445183,2010-07-01
2010,8,1175,12101875.0,0.14638297872340425,2010-08-01
2010,9,1189,12252600.0,0.17325483599663583,2010-09-01
2010,10,1232,13132125.0,0.1534090909090909,2010-10-01
2010,11,1224,13481475.0,0.14297385620915032,2010-11-01
2010,12,1335,14289000.0,0.12059925093632959,2010-12-01
2011,1,1380,14824575.0,0.13478260869565217,2011-01-01
2011,2,1298,14601275.0,0.13020030816640987,2011-02-01
2011,3,1448,16567325.0,0.14502762430939226,2011-03-01
2011,4,1563,17542075.0,0.1420345489443378,2011-04-01
2011,5,1704,19327950.0,0.17018779342723006,2011-05-01
2011,6,1835,20940200.0,0.14768392370572206,2011-06-01
2011,7,1875,21337600.0,0.1504,2011-07-01
2011,8,1934,23247525.0,0.14012409513960702,2011-08-01
2011,9,2067,25837650.0,0.1490082244799226,2011-09-01
2011,10,2118,27482550.0,0.147780925401322,2011-10-01
2011,11,2232,28332600.0,0.15412186379928317,2011-11-01
2011,12,2267,31642500.0,0.1901191001323335,2011-12-01
2012,1,2602,34220475.0,0.16910069177555725,2012-01-01
2012,2,2560,36058175.0,0.164453125,2012-02-01
2012,3,2914,39536300.0,0.15202470830473575,2012-03-01
2012,4,3230,42051125.0,0.15356037151702787,2012-04-01
2012,5,3400,45090825.0,0.1673529411764706,2012-05-01
2012,6,3817,50224275.0,0.18705789887346083,2012-06-01
2012,7,4627,60294525.0,0.17700453857791226,2012-07-01
2012,8,5419,70078650.0,0.1631297287322384,2012-08-01
2012,9,6087,77027750.0,0.15623459832429767,2012-09-01
2012,10,6263,82042125.0,0.15360051093725052,2012-10-01
2012,11,6382,87696350.0,0.16123472265747416,2012-11-01
2012,12,6066,94090450.0,0.15100560501153973,2012-12-01
2013,1,6872,105074375.0,0.15279394644935973,2013-01-01
2013,2,7561,120171375.0,0.1534188599391615,2013-02-01
2013,3,8273,127643500.0,0.14505016318143357,2013-03-01
2013,4,9419,140125775.0,0.1596772481155112,2013-04-01
2013,5,10350,148036475.0,0.16618357487922705,2013-05-01
2013,6,10899,158063375.0,0.16157445637214424,2013-06-01
2013,7,11910,170776825.0,0.15566750629722922,2013-07-01
2013,8,12674,180032675.0,0.15314817737099573,2013-08-01
2013,9,12987,187911125.0,0.158004158004158,2013-09-01
2013,10,14127,204744300.0,0.15693353153535783,2013-10-01
2013,11,14720,215992725.0,0.15394021739130434,2013-11-01
2013,12,15015,224079475.0,0.1533133533133533,2013-12-01
2014,1,15621,232546700.0,0.15901670827731898,2014-01-01
2014,2,15223,229086750.0,0.1670498587663404,2014-02-01
2014,3,16217,239977575.0,0.17093173829931554,2014-03-01
2014,4,18199,263893100.0,0.18391120391230287,2014-04-01
2014,5,18125,261143450.0,0.18471724137931034,2014-05-01
2014,6,16216,236704500.0,0.19456092747903306,2014-06-01
2014,7,27602,399335500.0,0.18944279400043476,2014-07-01
2014,8,17769,260395975.0,0.18993753165625527,2014-08-01
2014,9,9978,146643700.0,0.19011826017237923,2014-09-01
2014,10,36156,519822775.0,0.198777519637128,2014-10-01
2014,11,23014,332675675.0,0.19457721386981838,2014-11-01
2014,12,9390,139097275.0,0.18679446219382323,2014-12-01
2015,1,32300,476631775.0,0.20253869969040247,2015-01-01
2015,2,21717,324356250.0,0.1961136436892757,2015-02-01
2015,3,23014,341584325.0,0.2112627096549926,2015-03-01
2015,4,31904,468279825.0,0.20774824473420261,2015-04-01
2015,5,28814,420671450.0,0.20771152911778995,2015-05-01
2015,6,25562,371036700.0,0.21164228151161882,2015-06-01
2015,7,41217,600834700.0,0.20535216051629182,2015-07-01
2015,8,31840,473726200.0,0.20345477386934674,2015-08-01
2015,9,25279,381549950.0,0.2100162189960046,2015-09-01
2015,10,43200,628521475.0,0.19449074074074074,2015-10-01
2015,11,33060,478480525.0,0.20241984271022384,2015-11-01
2015,12,39277,565499650.0,0.21414568322427885,2015-12-01
2016,1,28643,440139300.0,0.199280801592012,2016-01-01
2016,2,34935,524938400.0,0.20237584084728782,2016-02-01
2016,3,49564,730275200.0,0.22639415704947138,2016-03-01
2016,4,24505,352740300.0,0.26827178126912876,2016-04-01
2016,5,18455,266218725.0,0.27558927120021676,2016-05-01
2016,6,21119,307947600.0,0.2568776930725887,2016-06-01
2016,7,22172,310531450.0,0.28093992422875697,2016-07-01
2016,8,22806,324089975.0,0.27931246163290363,2016-08-01
2016,9,17311,243574600.0,0.26601582808618796,2016-09-01
2016,10,19452,272159675.0,0.24424223730207692,2016-10-01
2016,11,19540,274946050.0,0.2637666325486182,2016-11-01
2016,12,20051,280149350.0,0.27464964340930625,2016-12-01
2017,1,16955,246259075.0,0.2524329106458272,2017-01-01
2017,2,13989,206021350.0,0.2607763242547716,2017-02-01
2017,3,17664,256509400.0,0.25798233695652173,2017-03-01
2017,4,13672,197317900.0,0.2696752486834406,2017-04-01
2017,5,16888,239237800.0,0.27256039791567976,2017-05-01
2017,6,16040,226935325.0,0.27487531172069823,2017-06-01
2017,7,15813,220764375.0,0.2817302219692658,2017-07-01
2017,8,16467,227654050.0,0.2747920082589421,2017-08-01
2017,9,14402,212631800.0,0.3017636439383419,2017-09-01
2017,10,12847,187343075.0,0.27788588775589634,2017-10-01
2017,11,13060,190683725.0,0.2664624808575804,2017-11-01
2017,12,11020,166669850.0,0.28176043557168784,2017-12-01
2018,1,9374,144328750.0,0.26114785577128224,2018-01-01
2018,2,7555,118445700.0,0.28047650562541365,2018-02-01
2018,3,8136,126196350.0,0.2894542772861357,2018-03-01
2018,4,7939,120277450.0,0.2994079858924298,2018-04-01
2018,5,7696,118559550.0,0.29456860706860705,2018-05-01
2018,6,5799,88892525.0,0.2910846697706501,2018-06-01
2018,7,5131,78060475.0,0.26193724420190995,2018-07-01
2018,8,4292,63373950.0,0.2418452935694315,2018-08-01
2018,9,2997,45261675.0,0.24924924924924924,2018-09-01
2018,10,2692,39399475.0,0.23291233283803864,2018-10-01
2018,11,2065,29562675.0,0.22130750605326877,2018-11-01
2018,12,1466,20826875.0,0.15757162346521145,2018-12-01
